title,description,exaples
Древесина,"",""
Бумага,"",""
"Картон, гафокартон ","","Прочие бумажные/картонные упаковки
продуктов, бумажные пакеты, плетенные
бумажные корзинки, коробки от игрушек,
коробки от стирального порошка,
обработанный воском картон для жидких
продуктов, упаковочная бумага и пр."
Металлы,Черные и цветные металлы,"Стальные банки, алюминиевые банки,
прочий металлолом, аэрозольные
баллончики и пр."
Текстиль (ветошь) ,"Натуральный и искусственный текстиль,
исключая обувь","Пряжа, одеяла, постельное белье, ковры,
рубашки, носки, колготки, нижнее белье и
пр."
"Кожа, резина.",,"Обувь, ремни и сумки, резиновая обувь,
линейки, трубки/помпы, и пр."
Стекло,,
Полимеры,,
Комбинированные отходы,,
Органические отходы,,
Инертные отходы,,
Потенциально опасные отходы,,
Смешанные отходы ,"Все прочие, не вошедшие
ни в одну из категорий и не
поддающиеся
определению, отходы",
Потери,Фракции менее 10 мм,"Зола, песок, почва, фракции менее 10 мм"
